2026-08-05 17:00:55 | INFO     | app.services.pipeline.orchestrator:47 | Run 347ff2d6-01cf-4a3c-946a-5685c861bd8d transitioned to FILTERING
2026-08-05 17:00:55 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN103724731A/en...
2026-08-05 17:00:56 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103724731A/en "HTTP/1.1 200 OK"
2026-08-05 17:00:56 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:00:56 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:00:56 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:01 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US5708132A/en...
2026-08-05 17:01:02 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US5708132A/en "HTTP/1.1 200 OK"
2026-08-05 17:01:02 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:02 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:02 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:15 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/US6043318A/en...
2026-08-05 17:01:16 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/US6043318A/en "HTTP/1.1 200 OK"
2026-08-05 17:01:16 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:16 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:16 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:24 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/WO2017095087A1/en...
2026-08-05 17:01:25 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/WO2017095087A1/en "HTTP/1.1 200 OK"
2026-08-05 17:01:25 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:25 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:25 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:35 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN103289150A/en...
2026-08-05 17:01:36 | INFO     | httpx:1773 | HTTP Request: GET https://patents.google.com/patent/CN103289150A/en "HTTP/1.1 200 OK"
2026-08-05 17:01:36 | INFO     | app.services.pipeline.fetcher_service:60 | Parsing Google Patents HTML...
2026-08-05 17:01:36 | INFO     | app.services.pipeline.extractor_service:46 | Classifying patent relevance for Low Acrylonitrile NBR...
2026-08-05 17:01:36 | INFO     | root:4499 | AFC is enabled with max remote calls: 10.
2026-08-05 17:01:42 | INFO     | app.services.pipeline.fetcher_service:24 | Fetching patent from https://patents.google.com/patent/CN102464768A/en...
